libelleparcours;libellepointorigine;libellepointdestination;idtempsparcoursvlentree;idtempsparcoursvlsortie;metaparcours;idmetaparcourspereentree;idmetaparcoursperesortie;longueur;tempsparcoursentree;tempsparcourssortie;vitesseentree;vitessesortie;lat_epsg4171;long_epsg4171;observation;gid
Villefranche-sur-Saône / Givors (A46N_Periph);Villefranche-sur-Saône;Givors;1036;1037;True;;;65900;2640;2580;90,00;92,00;45.78264000019085;4.891170000521084;;83
Villefranche-sur-Saône / Givors (A432);Villefranche-sur-Saône;Givors;1040;1041;True;;;90000;3180;3300;82,00;82,00;45.70443000015891;4.965029999975321;;118
Villefranche-sur-Saône / Neuville-sur-Saône;Villefranche-sur-Saône;Neuville-sur-Saône;50;150;False;;;15500;600;600;93,00;93,00;45.927090000348464;4.753040000593268;;86
Limonest (A6) / Dardilly (M6);Limonest (A6);Dardilly (M6);307;308;False;;;2500;120;120;75,00;75,00;45.82481000006943;4.7633699996026495;;192
PortedelaSoie_PortedeCroix-Luizet;Porte de la Soie;Porte de Croix-Luizet;39;139;False;1026;1027;2600;120;120;78,00;78,00;45.77386897467759;4.899635975186285;;56
TCR_Perrache;Tunnel Croix Rousse;Perrache;14;114;False;1010;1011;2800;300;300;33,60;33,60;45.759132000189;4.837488002081964;;25
EchangeurA43A46_PortedesAlpes;Manissieux;Porte des Alpes;34;134;False;1012;1013;3300;120;120;90,00;90,00;45.71183521903145;4.948295024533886;;50
PontdelaMulatière_Cordeliers;Pont de la Mulatière;Cordeliers;6;106;False;1002;1003;4000;300;300;48,00;48,00;45.74657394248629;4.829091635866168;;30
Garibaldi / Monplaisir;Garibaldi;Monplaisir;203;;False;;;2100;240;;31,50;;45.74700999964978;4.860149999497386;;152
Villefranche-sur-Saône / Givors (BPNL Periph);Villefranche-sur-Saône;Givors;1038;1039;True;;;66000;2760;2760;86,00;86,00;45.78369000019714;4.802589999876739;;84
PontUniversité / AccèsA6;Pont de l'Université;Accès A6;225;;False;;;1800;180;;36,00;;45.74924000029227;4.8283499997185775;;159
Ménival_ÉchangeurTassin;Ménival;Échangeur Tassin;29;129;False;1020;1021;2100;120;120;60,00;60,00;45.76623200091855;4.789013001247219;;20
BdTchécoslovaques_Part-Dieu;Bd des Tchécoslovaques;Part-Dieu;17;117;False;1012;1013;2100;240;300;34,80;30,00;45.75110200075904;4.859888000037105;;28
Pusignan / Meyzieu;Pusignan;Meyzieu;47;147;False;1030;1031;2300;120;120;90,00;90,00;45.760467838213664;4.985226680848797;;68
Ambérieux / Les Chères;Ambérieux;Les Chères;57;157;False;;;3100;120;120;93,00;93,00;45.911500668355686;4.740377735130877;;93
Santy / Bachut;Santy ;Bachut;93;;False;;;2071;360;;20,00;;45.728720000446664;4.87690000023761;;131
Vénissieux/Le Velin;Vénissieux;Le Velin;42;142;False;1028;1029;3800;120;120;90,00;90,00;45.67428448090308;4.905976693671721;;62
Caluire-et-cuire_Transbordeur;Caluire-et-cuire;Transbordeur;7;107;False;1004;1005;1800;180;180;40,00;40,00;45.793926000684124;4.859682000251511;;5
MontéeBoucle_TCR;Montée de la Boucle;Tunnel Croix Rousse;13;113;False;1010;1011;1800;180;180;36,00;36,00;45.78147100116308;4.83930400016561;;24
PorteduValvert_Cordeliers;Porte du Valvert;Cordeliers;3;103;False;1000;1001;6000;420;420;51,40;51,40;45.75525294310506;4.8168836364161445;;3
PontduRhône_PortedeGerland;Pont du Rhône;Porte de Gerland;35;135;False;1026;1027;2500;120;120;72,00;72,00;45.70718353989725;4.843763091373344;;52
Manissieux/Part-Dieu;Manissieux;Part-Dieu;1012;1013;True;;;11800;900;1080;47,50;43,50;45.729034000740924;4.898248000015077;;37
St-Priest/Manissieux;St-Priest;Manissieux;44;144;False;1030;1031;2600;120;120;90,00;90,00;45.69121995001907;4.96680919025524;;65
Feyzin/Vénissieux;Feyzin;Vénissieux;41;141;False;1028;1029;3400;120;120;90,00;90,00;45.6869102602761;4.866862536435195;;61
Transbordeur_Part-Dieu-Villette;Transbordeur;Part-Dieu-Villette;8;108;False;1004;1005;2800;420;420;23,00;24,00;45.7723880000437;4.858727001976691;;6
RoutedeVienne / LyonCentre;Route de Vienne;Lyon Centre;221;;False;;;5400;720;;27,00;;45.74283000039752;4.850489999476338;;156
Stgermainmontdor_NeuvillesurSaône;St-Germain-Mt-d’Or;Neuville-sur-Saône;22;122;False;1018;1019;2800;180;180;56,00;56,00;45.880314001271074;4.820381000273823;;11
