nom;typedeplacement;dureeparcours;identifiant;lat_epsg4171;long_epsg4171;observation;gid
Préfecture/Guillotière;Piéton;10;;45.759975490686934;4.842203831393896;;40
Grange Blanche/Hôpitaux;Piéton;20;;45.741738261470914;4.888257322165241;;112
Bellecour/Guillotière;Piéton;10;;45.75723705793717;4.836710634917409;;37
Foch/Préfecture;Piéton;15;;45.76359980701369;4.8449698450006915;;48
Foch/Terreaux;Piéton;15;;45.768588981958516;4.837812608064442;;9
Etats-Unis/Maison de la Danse;Piéton;10;;45.73436874511674;4.867689916445669;;103
Guillotière/Universités;Piéton;10;;45.75375393134991;4.838489237447761;;41
Cuire/Cimetière Croix-Rousse;Piéton;20;;45.78365449860982;4.826293925739943;;56
St Louis/Manufacture;Piéton;15;;45.74970009443009;4.8539789239924716;;83
Charpennes/Masséna;Piéton;10;;45.770160634082295;4.8595976748768;;4
Gratte-Ciel/Mairie Villeurbanne;Piéton;10;;45.7682760473655;4.880182644397438;;128
St Georges/Perrache;Piéton;15;;45.75534167557447;4.830616056878338;;101
Croix Luizet/Parc de la Feyssine;Piéton;15;;45.783861375094276;4.879322145882672;;158
Vaise/Tunnel de la Croix-Rousse;Piéton;10;;45.77490279533064;4.808777138782565;;144
Saxe Gambetta/Part-Dieu;Piéton;15;;45.75810722140394;4.852414850123684;;86
Tube Modes Doux;Piéton;25;;45.77457733069901;4.81421616293923;;66
Charpennes/Brotteaux;Piéton;5;;45.76904641599608;4.860489458355652;;5
Charpennes/Totem;Piéton;20;;45.763729780678574;4.867039817191226;;135
Jean Macé/St Louis;Piéton;10;;45.74679742967864;4.844451186634413;;82
Part-Dieu/Fort Montluc;Piéton;10;;45.75706140750011;4.858710114263543;;88
Doua/Charpennes;Piéton;20;;45.77541480833035;4.870073729649134;;23
Saxe Gambetta/Jean Macé;Piéton;15;;45.748218771395415;4.843651814943861;;67
Perrache/Jean Macé;Piéton;20;;45.74775721995095;4.833797318251984;;42
Cuire/Ile Barbe;Piéton;25;;45.79157872310256;4.83034119639814;;154
Part-Dieu/Place Rouget de Lisle;Piéton;20;;45.757117970089226;4.861603592548312;;91
Valmy/Tunnel de la Croix-Rousse;Piéton;10;;45.7748288817035;4.810551766757927;;51
Maison de la Danse/Grange Blanche;Piéton;15;;45.73977831461479;4.8740160188984465;;105
Jet d'Eau/Etats-Unis;Piéton;10;;45.7371334118168;4.861428179381311;;102
Tunnel de la Croix-Rousse/Terreaux;Piéton;10;;45.768518767184496;4.837182403854882;;29
Parc Tête d'Or/Cuire;Piéton;20;;45.782198533421294;4.838379876607677;;46
La Doua/Croix Luizet;Piéton;10;;45.782710511593095;4.878353738758155;;138
Cité Internationale/Place Henri Demoncy;Piéton;10;;45.78811930435111;4.85420757805525;;45
Mairie Villeurbanne/Totem;Piéton;10;;45.76448577098287;4.878171213928908;;130
Parc Tete d'Or/Brotteaux;Piéton;10;;45.77129817719121;4.8556334217069335;;145
Manufacture des Tabacs/Parc Blandan;Piéton;10;;45.74715023907722;4.858911049310482;;156
Vaise/Valmy;Piéton;10;;45.77850705218621;4.80253697179591;;50
Bellecour/Universités;Piéton;15;;45.75389826368346;4.832105974867024;;39
Bel Air Les Brosses/Carré Soie;Piéton;20;;45.75888668775514;4.913633813654668;;120
Terreaux/Saint Paul;Piéton;10;;45.767001586901934;4.831766563666738;;31
Tunnel de la Croix-Rousse/Esses;Piéton;15;;45.773051698411344;4.815820927140164;;64
St Jean/St Paul;Piéton;10;;45.763353755759404;4.829090478891156;;33
Totem/Place Rouget de Lisle;Piéton;20;;45.75936121347118;4.867881171778684;;133
Préfecture/République;Piéton;10;;45.75997529397892;4.841043585054246;;27
Parc Tête d'Or/Masséna;Piéton;10;;45.76948319496037;4.852348773608312;;3
Perrache/Place Nautique;Piéton;20;;45.74853210641734;4.819932803135387;;15
Grandclément/Maisons Neuves;Piéton;20;;45.757620570384255;4.88295695717817;;126
Carré Soie/Bonnevay;Piéton;20;;45.76337826962936;4.91466281057523;;121
République/St Jean;Piéton;10;;45.76176206815081;4.828761532291276;;32
Jaurès/Belleville;Piéton;15;;45.73670104588618;4.844730534040813;;78
Tony Garnier/Gerland;Piéton;10;;45.730514937246966;4.830049895254706;;72
Maison de la Danse/Parc Parilly;Piéton;20;;45.73324958275948;4.879146771636383;;106
Gorge de Loup/Conservatoire;Piéton;20;;45.77317869009893;4.8075242402801575;;146
Route de Vienne/Jet d'Eau;Piéton;10;;45.74068735617161;4.856012657638346;;81
Perrache/Charlemagne;Piéton;15;;45.74572863930506;4.82340227179234;;14
Bellecour/Saint Georges;Piéton;10;;45.757241946333565;4.829560944758815;;36
Saxe Gambetta/St Louis;Piéton;10;;45.75211726581284;4.846644079434278;;84
Fourvière/St Georges;Piéton;15;;45.759795624680756;4.822433471777666;;140
Cité Internationale/Doua;Piéton;25;;45.78529577381529;4.864240243908296;;24
Charlemagne/Place Nautique;Piéton;5;;45.742346238062495;4.8176050691321795;;16
Totem/Grandclément;Piéton;20;;45.76200894118914;4.880743595490691;;131
Confluence/Tony Garnier;Piéton;10;;45.73195406107364;4.821290349048219;;21
Cité Internationale/Parc de la Feyssine;Piéton;10;;45.78624632727045;4.858614105664252;;160
Jaurès/Debourg;Piéton;10;;45.73420910418128;4.835329077191389;;69
Mosquée/Parc Parilly;Piéton;10;;45.73304887223203;4.888630877842314;;108
Part-Dieu/Préfecture;Piéton;15;;45.76062486015322;4.852112703815367;;26
Masséna/Brotteaux;Piéton;10;;45.769915200220886;4.857095141727956;;6
Jean Macé/Route de Vienne;Piéton;10;;45.743465682469484;4.847255588384061;;80
Montchat/Parc Chambovet;Piéton;10;;45.75128128257525;4.893898252614103;;116
Confluence/Aquarium;Piéton;10;;45.73069467560695;4.815280402750905;;20
Belleville/Route de Vienne;Piéton;10;;45.73937480873464;4.851854897379749;;79
Charpennes/Parc Tête d'Or;Piéton;15;;45.769915200220886;4.857095141727956;;2
Manufacture/Montplaisir;Piéton;10;;45.74822687871851;4.863508975555166;;92
Jean Macé/Jaurès;Piéton;10;;45.7424187505391;4.840221238031455;;68
Mermoz/Parc de Parilly;Piéton;5;;45.73026401178754;4.888652277029175;;149
Porte des enfants du Rhône/Porte Tête d'Or;Piéton;10;;45.775746678017775;4.848030533418429;;1
Foch/Masséna;Piéton;10;;45.76930126348074;4.85039223916963;;7
St Just/Fourvière;Piéton;15;;45.75971516142889;4.816266859473946;;139
Saxe Gambetta/Fort Montluc;Piéton;15;;45.7529365884649;4.853331973538637;;87
Cusset/Bonnevay;Piéton;15;;45.766876766381614;4.904759893039497;;122
Hôpitaux/Parc Chambovet;Piéton;10;;45.74621989089058;4.896184675669499;;114
Totem/Maisons neuves;Piéton;10;;45.76073981803764;4.874938977794421;;132
Cordeliers/République;Piéton;10;;45.76352999609837;4.8358615939668095;;11
Cusset/Gratte-Ciel;Piéton;20;;45.76764444566341;4.889692027178261;;127
Bellecour/Perrache;Piéton;15;;45.75534167557447;4.830616056878338;;13
Maison de la Danse/Mosquée;Piéton;20;;45.73571292123833;4.881844803730943;;107
Fourvière/St Jean;Piéton;15;;45.762500569182414;4.825029117065397;;141
Grandclément/Montchat;Piéton;10;;45.75577542239102;4.891172340859613;;125
Fort Montluc/Place Rouget de Lisle;Piéton;5;;45.75452150770869;4.866535080051156;;90
Cité Internationale/Tête d'Or;Piéton;15;;45.78201500332544;4.8492438424822;;147
Route de Vienne/Parc Blandan;Piéton;5;;45.74384814893591;4.851952655288941;;150
Part-Dieu/Totem;Piéton;20;;45.762920422419974;4.8647167430888745;;134
Mairie Caluire/Place Gutemberg;Piéton;15;;45.79682197223539;4.847999184203057;;58
Montplaisir/Grange Blanche;Piéton;10;;45.74440382228457;4.8745644629860525;;99
Hôpitaux/Mairie Bron;Piéton;25;;45.73532869466426;4.903350654448578;;113
Valmy/Gorge de Loup;Piéton;15;;45.77125461660147;4.80548722108375;;143
Foch/Tunnel de la Croix-Rousse;Piéton;10;;45.77233187357234;4.841175713994408;;28
Terreaux/Cordeliers;Piéton;10;;45.76610150048003;4.834368558128888;;10
Tony Garnier/Debourg;Piéton;10;;45.73141509183036;4.829937373911781;;71
Guillotière/Saxe Gambetta;Piéton;5;;45.75529478319885;4.8429698659605345;;85
Jet d'Eau/Maison de la Danse;Piéton;15;;45.73762161321592;4.865574746071687;;104
Manufacture/Fort Montluc;Piéton;10;;45.751287803973604;4.8611097523161435;;89
République/Bellecour;Piéton;5;;45.757987008900926;4.834280018027151;;12
Mosquée/Hôpitaux;Piéton;10;;45.7390761983698;4.892202969486955;;111
Vaise/Gillet;Piéton;10;;45.780601939792646;4.8079819879815675;;52
République/Guillotière;Piéton;5;;45.75620303435377;4.840318326514101;;38
Moulin à Vent/Belleville;Piéton;10;;45.73404937123576;4.853356025704124;;77
Point du Jour/St Just;Piéton;20;;45.756466315781665;4.806160124377153;;61
Mairie Villeurbanne/Grandclément;Piéton;15;;45.760938895025006;4.884786499536002;;129
Mairie Caluire/Cuire;Piéton;20;;45.79159481982867;4.837516427143459;;57
Charpennes/Gratte-Ciel;Piéton;20;;45.77084135550531;4.872218201371445;;136
Charlemagne/Confluence;Piéton;15;;45.73844620550403;4.81709388992059;;19
Lacassagne/Montchat;Piéton;15;;45.751735755036805;4.884874576881246;;117
Gillet/Tunnel de la Croix-Rousse;Piéton;10;;45.776432704661566;4.810314539433999;;55
Gratte-Ciel/Croix Luizet;Piéton;20;;45.774492284488616;4.884605459102992;;137
Parc Tête d'Or/Croix-Rousse;Piéton;20;;45.776994868989554;4.838407593170178;;47
Moulin à Vent/Etats-Unis;Piéton;15;;45.73143710518606;4.859981466421915;;76
Manufacture/Jet d'Eau;Piéton;15;;45.74465930899237;4.858830815708268;;100
St Jean/St Georges;Piéton;10;;45.7586923547226;4.826914352474947;;34
Tony Garnier/Parc Gerland;Piéton;20;;45.72513298813805;4.825905164760589;;73
Maisons Neuves/Lacassagne;Piéton;15;;45.751899057353285;4.876572351933846;;95
Gerland/Parc Gerland;Piéton;10;;45.723164238283076;4.828745596586954;;74
Grange Blanche/Mosquée;Piéton;15;;45.74132599224248;4.885186807550101;;110
Terreaux/Croix-Rousse;Piéton;15;;45.770241392392684;4.831575730652609;;30
Perrache/Saint Just;Piéton;25;;45.752246878291146;4.819874804014659;;44
Debourg/Moulin à Vent;Piéton;20;;45.729665019724855;4.842018568422647;;75
Lacassagne/Grange Blanche;Piéton;10;;45.74576455624041;4.879699015012061;;98
La Doua/Parc de la Feyssine;Piéton;10;;45.78485089896733;4.870151089663879;;159
Gillet/Cimetière Croix-Rousse;Piéton;20;;45.779630538018026;4.815934684878571;;53
Montchat/Bel Air Les Brosses;Piéton;20;;45.75689443337381;4.899712223843843;;119
Lacassagne/Parc Chambovet;Piéton;15;;45.749079583585186;4.887833249178997;;115
Bellecour/St Jean;Piéton;10;;45.75921234603447;4.829599050839641;;148
Ile Barbe/Quai Gillet;Piéton;30;;45.79013150056152;4.820958149351571;;153
Place St Louis/Parc Blandan;Piéton;10;;45.748388773875625;4.851610213442367;;151
Charlemagne/Sucrière;Piéton;15;;45.74115298046244;4.814907335811333;;18
Place Rouget de Lisle/Maisons Neuves;Piéton;10;;45.755032735572364;4.870656498498884;;94
Debourg/Gerland;Piéton;5;;45.729681395785484;4.832641447794377;;70
Brotteaux/Part-Dieu;Piéton;10;;45.76454599785035;4.85852030784208;;22
Fourvière/St Paul;Piéton;15;;45.765637821990076;4.8240463290781666;;142
Cuire/Place Henri Demoncy;Piéton;25;;45.78790865884586;4.843235088464974;;155
Bellecour/St Georges;Piéton;10;;45.75921234603447;4.829599050839641;;35
Grange Blanche/Bron;Piéton;35;;45.73852151483531;4.893687679570161;;54
Universités/Jean Macé;Piéton;15;;45.749226503509426;4.841138459091031;;43
Cusset/Grandclément;Piéton;15;;45.7616911964488;4.896776049884421;;124
Place Nautique/Sucrière;Piéton;10;;45.739954279243705;4.81409735753269;;17
Lacassagne/Montplaisir;Piéton;15;;45.749174619071354;4.875586300961555;;97
Esses/Croix-Rousse;Piéton;20;;45.77372366762285;4.823768723033726;;65
Vaise/Duchère;Piéton;20;;45.78308751203075;4.800200624387959;;49
Mairie de Caluire/Ile Barbe;Piéton;25;;45.793307491949655;4.833835265424158;;152
Conservatoire/Montée des Esses;Piéton;15;;45.771401611890184;4.814951331488572;;63
Place Gutemberg/Place Henry Demoncy;Piéton;15;;45.79309850033849;4.85289557093325;;59
Croix-Rousse/Cuire;Piéton;20;;45.77948742888183;4.832311029823376;;60
Lacassagne/Place Rouget de Lisle;Piéton;20;;45.75067424674369;4.873942556227235;;96
Maisons Neuves/Montchat;Piéton;20;;45.75431214148694;4.883337477501751;;118
Mairie Bron/Parc Parilly;Piéton;20;;45.72999299207947;4.908348731301061;;109
Bonnevay/Grandclément;Piéton;20;;45.763747035071454;4.900637166904233;;123
Place Rouget de Lisle/Montplaisir;Piéton;20;;45.75113505719363;4.872020230547674;;93
Parc Tête d'Or/Foch;Piéton;15;;45.772451371613684;4.843093584773972;;8
St Just/Gorge de Loup;Piéton;20;;45.76094173417199;4.8093622443812185;;62
